szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
Zsoldos Péter,Portré négy ülésben,,,2-003288,2869667,,,,    .  .  ,1979,???
"¯ukrowski, Wojciech",Strand a Styx partján,,,2-003289,2869711,,,9632710142,    .  .  ,1979,???
"Zola, Émile",Tisztes úriház,,,2-003290,2869261,,,9630743558,    .  .  ,1987,???
Végh Julia,"Ünnepi csokor : Válogatott versek, novellák ünnepi mûsorok szervezéséhez",,,2-003291,2869995,,,9634225683,    .  .  ,1983,???
Granasztói Szilvia,"Ünnepsoroló : Versek, játékok, jó tanácsok ünnepekre",,,2-003292,2869940,,,9631139751,    .  .  ,1985,???
Esztergályos Jenõ,Magyar ünnepek,,,2-003293,2864839,,,9630288761,    .  .  ,1990,???
Huszár Tiborné,Nyitnikék : Kisiskolások könyve,,,2-003294,2875521,,,9632234170,    .  .  ,1986,???
,Egzotikus állatok,,,2-003295,2873213,,,9630279193,    .  .  ,1990,???
Schmidt Egon,Miért énekel a fülemüle? Madaraink viselkedése,,,2-003297,2876702,,,9632331028,    .  .  ,1984,???
Csányi Vilmos,Kis etológia : Gondolkodnak-e az állatok ?,,,2-003299,2876658,,,963281665X,    .  .  ,1986,???
Csányi Vilmos,Kis etológia,,,2-003300,2876603,,,9632816072,    .  .  ,1980,???
"Peterson, Roger Tory",Európa madarai,,,2-003301,2883434,,,9632817206,    .  .  ,1986,???
"Schönn, Renate",Nesztelen szárnyakon,,,2-003302,2870991,,,,    .  .  ,1988,???
"Massny, Helmut",Tavi expedíció,,,2-003303,2871042,,,9631143449,    .  .  ,1984,???
"Freude, Matthias",Az állatvilág építõmesterei,,,2-003304,2877051,,,9631162753,    .  .  ,É.N.,???
Pénzes Bethen,Állati rekordok,,,2-003305,2870908,,,9631144321,    .  .  ,1986,???
Balogh János,Haldokló õserdõk nyomában,,,2-003306,2881218,,,9632232682,    .  .  ,1984,???
Kós Károly,Mihez kezdjünk a természetben?,,,2-003307,2876320,,,9632319966,    .  .  ,1985,???
Mátyás Csaba,Az erdõk nagy képeskönyve,,,2-003308,2876641,,,9631151239,    .  .  ,1986,???
"Felix, Jiøí",Kígyók,,,2-003309,2876801,,,963233096X,    .  .  ,1984,???
Pénzes Bethen,Bölcsõ a víz alatt,,,2-003310,2871806,,,9631136418,    .  .  ,1984,???
Schmidt Egon,"Kedvencem, az aranyhörcsög",,,2-003311,2872841,,,9631132064,    .  .  ,1984,???
Lázár Ervin,Öregapó madarai,,,2-003312,2871998,,,9631136582,    .  .  ,1984,???
"Dröscher, Vitus B.",Vándorutak az állatvilágban,,,2-003313,2872988,,,963793703X,    .  .  ,1991,???
Koroknay István,Az állatok nagy képeskönyve,,,2-003314,2876993,,,9631155218,    .  .  ,1988,???
"Adamson, Joy",A pettyes szfinx nyomában,,,2-003315,2876559,,,9632820462,    .  .  ,1988,???
"Parsons, Alexandra",Csudálatos madarak,,,2-003317,2876757,,,963797038X,    .  .  ,1991,???
Franyó István,"Zöld erdõben, zöld mezõben... : Olvasnivalók hazánk élõvilágából",,,2-003318,2876177,,,9631804577,    .  .  ,1987,???
Kopácsy Margit,Mézesmázos haramiák,,,2-003319,2873589,,,9631154513,    .  .  ,1987,???
Arató Endréné,Nézz körül ! : Környezetismereti olvasókönyv az ált. isk. 3-4. o. ...,,,2-003320,2875279,,,9631808998,    .  .  ,1988,???
"Andersen, Hans Christian",Hüvelyk Kati,,,2-003321,2873190,,,9637840117,    .  .  ,1989,???
Mérei Ferenc,Ablak-zsiráf : képes gyermeklexikon,,,2-003322,2883052,,,9631144585,    .  .  ,1985,???
Ágai Ágnes,Akik ki akarták merni a tengert,,,2-003323,2870625,,,9631132684,    .  .  ,1984,???
Kosztolányi Dezsõ,Édes Anna,,,2-003324,2873343,,,9631139964,    .  .  ,1985,???
Áprily Lajos,Fegyvertelen vadász,,,2-003325,2871493,,,9631136612,    .  .  ,1984,???
"Andersen, Hans Christian",A rendíthetetlen ólomkatona,,,2-003326,2873282,,,963115260X,    .  .  ,1987,???
Annus József,Békebeli csaták,,,2-003327,2856018,,,9631144267,    .  .  ,1986,???
"Aubry, Cécile",Belle és Sebastien,,,2-003328,2855714,,,9631139573,    .  .  ,1985,???
Balogh Béni,Omló bástyákon hulló csillagok,,,2-003329,2851235,,,9637392874,    .  .  ,1990,???
Bálint Tibor,"Én voltam a császár : Mesék, történetek",,,2-003330,2872858,,,9631139204,    .  .  ,1984,???
Bálint Ágnes,Frakk és a macskák,,,2-003332,2851327,,,9630282933,    .  .  ,1990,???
Bálint Ágnes,Duruzsoló,,,2-003333,2870922,,,963116134X,    .  .  ,1989,???
Balogh Béni,Szivárvány a Sajó felett,,,2-003334,2851228,,,9631152774,    .  .  ,1987,???
Berczeli A. Károly,Kamaszok,,,2-003335,2852799,,,9631523969,    .  .  ,1983,???
Benedek Elek,Katalin,,,2-003336,2852836,,,9631167143,    .  .  ,1994,???
Berkes Péter,Teknõs Béla nem lesz béka,,,2-003337,2872766,,,9631144089,    .  .  ,1986,???
Benedek Elek,"Nagyapó mesél Évikének : Versek, mesék, történetek hat-tizenkétéves gyerekeknek",,,2-003338,2871622,,,9632051661,    .  .  ,1987,???
Bodó Béla,Brumi Mackóvárosban,,,2-003340,2873008,,,9630269503,    .  .  ,1989,???
"Bruckner, Karl",Szadakó élni akar,,,2-003342,2851945,,,9631137554,    .  .  ,1984,???
"Brock, Peter",Nelli,,,2-003343,2851822,,,9631137201,    .  .  ,1984,???
Sulyok Magda,Boszorkabál,,,2-003345,2872551,,,9631151751,    .  .  ,1987,???
"Bürger, Gottfried August",Münchausen kalandjai,,,2-003346,2872100,,,963026871X,    .  .  ,1989,???
,A bohóc köszöntõje,,,2-003347,2873565,,,9631151824,    .  .  ,1986,???
"Collodi, Carlo",Pinokkió kalandjai,,,2-003349,2872919,,,9631139484,    .  .  ,1985,???
Csernai Zoltán,Farkaskölykök és vízipockok,,,2-003350,2854397,,,9631137503,    .  .  ,1985,???
Csonkaréti Károly,A Levante hajóraj magyar tengerésze,,,2-003351,2854410,,,9631152219,    .  .  ,1987,???
Csukás István,Kalandozás Betûországban,,,2-003352,2872810,,,9637509003,    .  .  ,1990,???
Csukás István,Pom Pom meséi (8. köt.) Óriástüdejû levegõfújó,,,2-003353,2873510,,,963112763X,    .  .  ,1985,???
Csoóri Sándor,Lábon járó verõfény,,,2-003355,2869919,,,9631145522,    .  .  ,1987,???
"Dahl, Roald",Matilda három csodája,,,2-003356,2873220,,,9637943021,    .  .  ,1991,???
Dániel Anna,Margot királyné gobelinjei,,,2-003357,2854618,,,9631136949,    .  .  ,1984,???
Dániel Anna,Széllovasok,,,2-003358,2854595,,,9631154769,    .  .  ,1988,???
"Dahl, Roald",Szofi és Habó,,,2-003359,2873176,,,9631166279,    .  .  ,1990,???
"Dahl, Roald","Danny, a szupersrác",,,2-003360,2854557,,,9631143287,    .  .  ,1985,???
Dékány Kálmán,Tolvajkulcs,,,2-003361,2854878,,,9631134962,    .  .  ,1984,???
Dér Zoltán,Örvénysodró,,,2-003362,2854908,,,9631151689,    .  .  ,1987,???
"Disney, Walt",Hófehérke az elvarázsolt rengetegben,,,2-003363,2873312,,,9631166031,    .  .  ,1989,???
Döbrentei Kornél,Tiszóka,,,2-003365,2853468,,,963114450X,    .  .  ,1986,???
Csonkaréti Károly,A Zenta cirkálóval kezdõdött,,,2-003366,2873466,,,9631139077,    .  .  ,1986,???
,Garabó Gereben : Debreczeni Gyöngyi és Ottlik Géza meseátdolgozásai,,,2-003367,2871073,,,9631128083,    .  .  ,1983,???
Fekete István,Derengõ hajnal,,,2-003369,2854144,,,9632331419,    .  .  ,1989,???
Fekete István,Erdei utakon,,,2-003371,2854137,,,9632324323,    .  .  ,1987,???
Fekete Gyula,Esztendõre vagy kettõre,,,2-003373,2854304,,,9631152901,    .  .  ,1987,???
Fodor Sándor,Csipike és a Gonosz Ostoba : A végsõ megpróbáltatás meséje,,,2-003374,2872087,,,9637865233,    .  .  ,1990,???
Dömötör Ákos,Fótonfót király,,,2-003375,2870939,,,9631141632,    .  .  ,1985,???
Gyárfás Endre,Tücsökkaland,,,2-003377,2871783,,,9631137376,    .  .  ,1985,???
Gyurkovics Tibor,"Kudi, a levegõember",,,2-003379,2857411,,,9631137597,    .  .  ,1985,???
Gyurkovics Tibor,A pápai mézesbábos,,,2-003380,2871257,,,9631123588,    .  .  ,1983,???
"Hauff, Wilhelm",A szarvastallér legendája : Mesék,,,2-003381,2872643,,,9631163598,    .  .  ,1989,???
Herke Rózsa,Ördög : Egy pulikutya önéletrajza,,,2-003382,2857626,,,9635003544,    .  .  ,1984,???
Sulyok Magda,Hogyan építettek kunyhót a majmok?,,,2-003383,2873015,,,9631139735,    .  .  ,1985,???
"Kauter, Kurt",Hogyan lett király a kondorkeselyû : Indián mesék,,,2-003384,2873169,,,9631140482,    .  .  ,1984,???
Horgas Béla,A kóbor ceruza tündére,,,2-003386,2872964,,,9631152383,    .  .  ,1987,???
Horgas Béla,A fabatkák kertje,,,2-003387,2872698,,,9631132897,    .  .  ,1984,???
"Hercíková, Iva",Andersen kisasszony,,,2-003388,2857572,,,9631142469,    .  .  ,1986,???
Janikovszky Éva,Már óvodás vagyok,,,2-003391,2871417,,,9631167615,    .  .  ,1991,???
Janikovszky Éva,Aranyesõ,,,2-003392,2858456,,,,    .  .  ,1986,???
Janikovszky Éva,Már megint,,,2-003393,2870830,,,9631166821,    .  .  ,1990,???
Janikovszky Éva,"Akár hiszed, akár nem",,,2-003394,2871769,,,9631137023,    .  .  ,1984,???
Janikovszky Éva,A hét bõr,,,2-003395,2871332,,,9634226795,    .  .  ,1985,???
"Judah, Aaron",Macóka régi és új meséi,,,2-003396,2864778,,,963116554X,    .  .  ,1990,???
Kántor Zsuzsa,Csiszi-csosza ház,,,2-003397,2859101,,,9631155021,    .  .  ,1988,???
"Kasszil, Lev Abramovics",Hókirálynõ,,,2-003401,2859187,,,9631139875,    .  .  ,1985,???
Kárpáti Kamil,Égjáró Trombitás  Ali,,,2-003402,2859286,,,9631137589,    .  .  ,1985,???
"Kästner, Erich",Emil és a három iker,,,2-003403,2858920,,,9631155536,    .  .  ,1988,???
Kelemen Sándor,Kapitányok,,,2-003404,2871240,,,9631131645,    .  .  ,1983,???
Kiss Anna,"Alattunk is laknak, felettünk is laknak",,,2-003405,2871530,,,9631133273,    .  .  ,1985,???
Kertész Erzsébet,Zsuzsi vakációja,,,2-003406,2858913,,,9632823966,    .  .  ,1991,???
"Korschunow, Irina",Halló! Sebastian?,,,2-003409,2859590,,,9631153428,    .  .  ,1987,???
Kosáryné Réz Lola,Selmeci diákok,,,2-003411,2859644,,,963116523X,    .  .  ,1990,???
Kõszegi Imre,A fellegvári Vénusz,,,2-003412,2859613,,,9631152049,    .  .  ,1987,???
Krúdy Gyula,Rózsa Sándor : A betyárok csillaga Magyarország történetében,,,2-003413,2860794,,,963116439X,    .  .  ,1989,???
Kõris Emil,A katedrális,,,2-003414,2859767,,,9631136272,    .  .  ,1984,???
Köves József,A közös kutya,,,2-003415,2860077,,,9634227910,    .  .  ,1987,???
Lakner Judit,Balettcipõben Tokióig,,,2-003418,2872773,,,963114528X,    .  .  ,1986,???
László-Bencsik Sándor,Mesejáró Rebeka és Tengerjáró Tóbiás,,,2-003419,2872285,,,9631135764,    .  .  ,1984,???
Lengyel Balázs,"Óperencián innen, Óperencián túl : Mesék, történetek, mesefeldolgozások",,,2-003420,2873077,,,9631139743,    .  .  ,1985,???
Lesznai Anna,A kis pillangó utazása Lesznán és a szomszédos Tündérországban,,,2-003421,2870113,,,9631139794,    .  .  ,1985,???
Lesznai Anna,A kis pillangó utazása Lesznán és a szomszédos Tündérországban,,,2-003422,2871615,,,9631139794,    .  .  ,1985,???
"Lindgren, Astrid",A rabló lánya,,,2-003423,2860732,,,9631142590,    .  .  ,1986,???
Kósa Csaba,Pogánykõ,,,2-003424,2859576,,,9631136280,    .  .  ,1984,???
"London, Jack",A vadon szava,,,2-003425,2859552,,,9637965106,    .  .  ,1991,???
Mándy Iván,Csutak színre lép,,,2-003427,2873763,,,9631155749,    .  .  ,1988,???
Mándy Stefánia,Játékzivatar,,,2-003428,2871851,,,9631152634,    .  .  ,1987,???
Mányi László,Hová tûnt Dorman professzor agya?,,,2-003429,2860886,,,9631142701,    .  .  ,1986,???
"Milú, S.","Füstöcske, a kis sárkány",,,2-003433,2872735,,,9637447261,    .  .  ,1991,???
"Miler, Zdenìk",A vakond és az esernyõ,,,2-003434,2873107,,,8070891327,    .  .  ,1991,???
"Milne, Alan Alexander",Micimackó ; Micimackó kuckója,,,2-003436,2871202,,,9631166929,    .  .  ,1991,???
"Milne, Alan Alexander",Holnemvolt,,,2-003437,2872957,,,9631133923,    .  .  ,1983,???
Móra Ferenc,Az aranyszõrû bárány,,,2-003438,2870793,,,9631130487,    .  .  ,1983,???
Móra Ferenc,Rab ember fiai,,,2-003439,2862392,,,,    .  .  ,1985,???
Mosonyi Aliz,Szekrénymesék : 35 rövid mese,,,2-003440,2870618,,,963113914X,    .  .  ,1985,???
"Musierowicz, Malgorzata",A hazudozó,,,2-003442,2864587,,,9631154238,    .  .  ,1988,???
Nagy Katalin,Szív a kerítésen,,,2-003443,2864129,,,9631164462,    .  .  ,1989,???
Nagy Katalin,Az elvarázsolt iskola,,,2-003444,2871431,,,9631135756,    .  .  ,1984,???
Nagy Franciska,Ûrbicikli : Fantasztikus meseregény,,,2-003446,2871585,,,9631136361,    .  .  ,1984,???
"Nast, Clara",Csöpike az iskolában,,,2-003447,2871486,,,9637407650,    .  .  ,1990,???
"Aszódi Éva, T.",Nefelejcs : Szép magyar versek kisiskolásoknak,,,2-003449,2871561,,,9631142361,    .  .  ,1986,???
Nemes Nagy Ágnes,Szökõkút,,,2-003450,2871790,,,9631136914,    .  .  ,1984,???
"Nienacki, Zbigniew",Autócska úr és a titkok titka,,,2-003452,2864068,,,9631138712,    .  .  ,1984,???
Nógrádi Gábor,A mi Kinizsink,,,2-003453,2863009,,,9631166007,    .  .  ,1990,???
"Nöstlinger, Christine",Órarend randevúval,,,2-003454,2863153,,,9631136515,    .  .  ,1984,???
Nógrádi Gábor,Hecseki és a kedves betörõk,,,2-003455,2862958,,,9631153118,    .  .  ,1987,???
Orbán Ottó,Mese a csodálatos nyárról,,,2-003456,2870601,,,9631138801,    .  .  ,1984,???
Orbán Dezsõ,Az ezüstflotta kincse,,,2-003458,2862798,,,9631164071,    .  .  ,1989,???
"Ott, Dieter",Az ördöngös Caprioli,,,2-003460,2863092,,,9631151395,    .  .  ,1987,???
Padisák Mihály,Ki tapsol nekem?,,,2-003461,2862880,,,9631166325,    .  .  ,1990,???
Padisák Mihály,"Kanóc, az emberszelídítõ",,,2-003462,2862835,,,9631138720,    .  .  ,1984,???
Páskándi Géza,A Nagy Légyölõ meg Szuszóka és Miló,,,2-003463,2863375,,,9637572015,    .  .  ,1991,???
Petrovácz István,Lány a Wiktorskán,,,2-003464,2862910,,,9631138577,    .  .  ,1984,???
Petrovácz István,Keserû vakáció,,,2-003465,2862866,,,963115226X,    .  .  ,1987,???
Rákos Sándor,A király és az ûrutazó : Mesék Gilgamesrõl és Etanáról,,,2-003466,2870946,,,9631140016,    .  .  ,1985,???
Rónaszegi Miklós,A gézengúzok az Alpok alján,,,2-003469,2866000,,,9631167127,    .  .  ,1991,???
"Saint-Exupéry, Antoine de",A kis herceg,,,2-003472,2865591,,,9631151204,    .  .  ,1987,???
Sebõk Zsigmond,"Mackó úr utazásai : Mackó úr a Bakonyban, az Alföldön és a tengeren",,,2-003475,2870885,,,9634228062,    .  .  ,1989,???
"Sempé, Raymond",A kis Nicolas,,,2-003476,2857541,,,9631140636,    .  .  ,1985,???
Szabó Lõrinc,Húz a liba papucsot,,,2-003477,2871660,,,9631139824,    .  .  ,1987,???
Szalai Borbála,"Csipkebokor, csipkeág : Válogatott gyermekversek",,,2-003478,2871844,,,,    .  .  ,1986,???
Szepesi Attila,A bohóc seregélyek,,,2-003480,2871820,,,9631132749,    .  .  ,1985,???
Sajdik Ferenc,Hát (m)ilyenek a macskák ?,,,2-003481,2870915,,,963115288X,    .  .  ,1987,???
Szûcs Sándor,Madárkeresõ királyfiak,,,2-003482,2871639,,,9631133281,    .  .  ,1984,???
Tandori Dezsõ,Medvék minden mennyiségben,,,2-003484,2870175,,,9631132943,    .  .  ,1984,???
"Tanská, Nataša",Puff és Muff,,,2-003485,2870120,,,,    .  .  ,1983,???
Tarbay Ede,A mozgólépcsõ vándorai,,,2-003486,2867687,,,9631135918,    .  .  ,1984,???
Tatay Sándor,Vulkán ; A szerelem szõnyege,,,2-003487,2867335,,,9631526623,    .  .  ,1984,???
Tatay Sándor,Bujdosásunk története,,,2-003488,2867588,,,9631139905,    .  .  ,1985,???
Téglásy Imre,Az áruló nagyúr,,,2-003489,2867441,,,9631153592,    .  .  ,1987,???
Teknõs Péter,A vasfejû,,,2-003490,2867915,,,9631138909,    .  .  ,1985,???
Tõke Péter,A kocka hatalma,,,2-003491,2868370,,,9631165876,    .  .  ,1990,???
"Thorvall, Kerstin",Pótpapa,,,2-003493,2867427,,,9631153010,    .  .  ,1986,???
Thury Zsuzsa,Angéla : Egy zalai nyár története,,,2-003494,2867373,,,9631164470,    .  .  ,1989,???
Tordon Ákos,Karácsonyi postahivatal,,,2-003495,2872674,,,9631124312,    .  .  ,1984,???
Tõke Péter,Hanyistók,,,2-003496,2868424,,,9635002882,    .  .  ,1984,???
Tõke Péter,Afrikai nyomozás,,,2-003497,2868479,,,9631163830,    .  .  ,1989,???
Tutsek Anna,Cilike búcsúja,,,2-003499,2867984,,,9637407642,    .  .  ,1990,???
"Twain, Mark","Tom Sawyer léghajón ; Tom Sawyer, a detektív",,,2-003500,2868431,,,9631141306,    .  .  ,1985,???
"Vangeli, Spiridon Stepanoviè",Guguce kalandjai,,,2-003501,2872759,,,9631137449,    .  .  ,1984,???
Varga Katalin,Tündérek éjszakája,,,2-003502,2871318,,,9637895221,    .  .  ,1991,???
Veress Miklós,Égimódi csavargó,,,2-003506,2873626,,,9631137309,    .  .  ,1984,???
Verne Gyula,A rejtelmes sziget,,,2-003507/01,2868059,,,9631164466,    .  .  ,1989,???
Verne Gyula,A rejtelmes sziget,,,2-003507/02,2868103,,,9631164466,    .  .  ,1989,???
"Webster, Jean",Kedves Ellenségem!,,,2-003508,2869131,,,9631165396,    .  .  ,1989,???
Zelk Zoltán,Új mese a négy vándorról,,,2-003511,2873275,,,9631135782,    .  .  ,1984,???
"Zimecki, Tadeusz",Vakáció a kenguruk szigetén,,,2-003512,2869056,,,9631135586,    .  .  ,1984,???
Mandel Róbert,Magyar népi hangszerek,,,2-003514,2864969,,,9631151409,    .  .  ,1986,???
Matthaeidesz Konrád,Elõdeink fegyverei,,,2-003515,2885988,,,9631139891,    .  .  ,1985,???
Csaba György,Égitestek,,,2-003517,2885926,,,9631164934,    .  .  ,1989,???
Tóth Loránd,"Ejtõernyõk, siklószárnyak",,,2-003518,2886114,,,9631151433,    .  .  ,1987,???
Kósa Géza,"Magvak, termések",,,2-003519,2885889,,,9631167178,    .  .  ,1991,???
Bálint Sándor,Versenyautók,,,2-003521,2885964,,,9631167860,    .  .  ,1991,???
Podani János,"Trópusi csigák, kagylók",,,2-003522,2885780,,,9631155595,    .  .  ,1988,???
Pénzes Bethen,Állatkerti emlõsök,,,2-003524,2884165,,,9631155196,    .  .  ,1978,???
Schmidt Egon,Kisemlõsök,,,2-003525,2886756,,,9631139840,    .  .  ,1985,???
Sisa József,Híres magyar templomok,,,2-003526,2886015,,,9631165388,    .  .  ,1989,???
Podani János,Tengeri állatok 1.,,,2-003527,2885520,,,9631142574,    .  .  ,1986,???
Sulyok Mária,Szobanövények,,,2-003529,2883861,,,,    .  .  ,1988,???
Sulyok Mária,Trópusi orchideák,,,2-003530,2886657,,,9631144305,    .  .  ,1986,???
Hunyadi Károly,Gyomnövények,,,2-003531,2886077,,,9631153649,    .  .  ,1987,???
,Madarak,,,2-003532,2885933,,,9631167100,    .  .  ,1991,???
Bába Károly,"Medúzák, zsákállatok",,,2-003533,2885834,,,9631167119,    .  .  ,1991,???
Pénzes Bethen,Tengeri állatok 2.,,,2-003534,2885766,,,9631151875,    .  .  ,1987,???
Agócsy Pál,"Kaktuszok, pozsgások",,,2-003535,2886701,,,9631141357,    .  .  ,1985,???
Mészáros Zoltán,"Szitakötõk, kérészek, hangyalesõk",,,2-003536,2885612,,,963113766X,    .  .  ,1984,???
Priszter Szaniszló dr.,"Hagymások, gumósok",,,2-003538,2886800,,,9631136019,    .  .  ,1984,???
Kósa Géza,Havasi virágok,,,2-003539,2885711,,,9631135985,    .  .  ,1984,???
"Hargreaves, Brian",Lepkék,,,2-003540,2885728,,,9632818962,    .  .  ,1987,???
"Shakespeare, William",Öt dráma,,,2-003543,2865669,,,9630753189,    .  .  ,1991,???
Móricz Zsigmond,Móricz Zsigmond válogatott novellái,,,2-003547,2864150,,,9631534987,    .  .  ,1988,???
Kósa Géza,Kína kerti virágai,,,2-003548,2885971,,,9631150763,    .  .  ,1986,???
Murayné Szy Éva,Játékos beszédnevelés,,,2-003549,2875132,,,9635643578,    .  .  ,1988,???
Vargyas Lajos,Magyar népballadák,,,2-003550,2876139,,,9630756374,    .  .  ,1994,???
"Legendre, Philippe",Hogyan rajzoljunk erdei állatokat?,,,2-003551,2872391,,,963771040X,    .  .  ,1994,???
"Legenre, Philippe",Hogyan rajzoljunk háziállatokat?,,,2-003552,2873138,,,9637710418,    .  .  ,1994,???
,"44 híres eposz, verses regény, elbeszélõ költemény",,,2-003553,2864426,,,963117137X,    .  .  ,1994,???
"Brontë, Charlotte",A különös tanítvány,,,2-003554,2851884,,,9637523200,    .  .  ,1992,???
"Christie, Agatha",Temetni veszélyes,,,2-003555,2848181,,,9630756498,    .  .  ,1994,???
Rónaszegi Éva,Március idusa : iskolai segédanyag,,,2-003557,2864884,,,9638304847,    .  .  ,1994,???
Tamási Áron,Ábel : [ trilógia],,,2-003559,2867656,,,9631544281,    .  .  ,1993,???
"Le Prince, F.",Holt kéz,,,2-003560,2853482,,,9638367008,    .  .  ,1993,???
Tamási Áron,Ábel : [ trilógia],,,2-003561,2867557,,,9631544281,    .  .  ,1993,???
Somos Béla,"Irodalom : érettségizõknek, felvételizõknek",,,2-003563,2875422,,,9631852881,    .  .  ,1994,???
Lengyel Dénes,Régi magyar mondák,,,2-003564,2860527,,,,    .  .  ,1994,???
Sánta Ferenc,Halálnak halála : a szerzõ válogatása életmûvébõl,,,2-003565,2865782,,,9638129786,    .  .  ,1994,???
"Santavuori, Martti",A fejedelem útja,,,2-003566,2865881,,,9638129433,    .  .  ,1993,???
"Harrison, Kathryn",Jelmezek : csináld magad !,,,2-003567,2879536,,,9638513705,    .  .  ,1994,???
Kristó Nagy István,A világirodalom története,,,2-003568/01,2882857,,,9637685278,2004.05.13,1993,???
Kristó Nagy István,A világirodalom története,,,2-003568/02,2882604,,,9637685278,    .  .  ,1993,???
"Taylor, Linda",Vár rád a szerelem,,,2-003570,2867397,,,9637924477,    .  .  ,1994,???
"Saint Etienne, Anton de",A kis herceg visszatér,,,2-003571,2872315,,,9637719679,    .  .  ,1994,???
"Piòol, Roser",Bábuk : Játszunk bábszínházat,,,2-003572,2878133,,,9637710442,    .  .  ,1994,???
"Piòol, Roser","A papír : tépés, vágás, ragasztás",,,2-003574,2878331,,,9637710450,    .  .  ,1994,???
,99 híres magyar vers és értelmezése,,,2-003575,2859163,,,9631171388,    .  .  ,1994,???
"Christie, Agatha",A vád tanúja és más történetek,,,2-003576,2848174,,,963841345X,    .  .  ,1994,???
"London, Jack",A vén kalóz kincse,,,2-003577,2859606,,,9638367040,    .  .  ,1994,???
,Ballagási emlékkönyv,,,2-003578,2875538,,,,    .  .  ,1994,???
,"Húsvéti harangszó : iskolai segédanyag : versek, dalok, jelenetek",,,2-003580,2864983,,,9638304855,    .  .  ,1994,???
Batsányi János,Batsányi János össszes költeményei,,,2-003582,2852911,,,9631856208,    .  .  ,1994,???
"Blake, Jennifer",A vágy fogságában,,,2-003584,2852546,,,9634340148,    .  .  ,1994,???
"Blake, Jennifer",A vágy fogságában,,,2-003585,2852539,,,9634340148,    .  .  ,1994,???
"Christie, Agatha",A vád tanúja és más történetek,,,2-003586,2848167,,,963841345X,    .  .  ,1994,???
"Weber, B.",Az égszinkék nyulacska,,,2-003587,2871745,,,,    .  .  ,1994,???
Dupka György,Hét csillag : mesék óvodásoknak és kisiskolásoknak,,,2-003588,2873152,,,9638129654,    .  .  ,1993,???
"Le Prince, F.",Holt kéz,,,2-003589,2860329,,,9638367008,    .  .  ,1993,???
Szerb Antal,Magyar irodalom történet,,,2-003591,2882444,,,9631419789,    .  .  ,É.N.,???
"Dumas, Alexandre",A három testõr,,,2-003592,2853475,,,9637888594,    .  .  ,1994,???
"Salgari, Emilio",A kalózbáró diadala,,,2-003594,2865492,,,9637888519,    .  .  ,1994,???
Frank Júlia,"Süssünk, süssünk valamit!",,,2-003595,2878058,,,9637744304,    .  .  ,1993,???
Szepesi Attila,A Mikulás lámpája,,,2-003596,2867175,,,9631171167,    .  .  ,1993,???
,A férfi és a nõ : bevezetés a szexualitásba,,,2-003597,2877198,,,9637937250,    .  .  ,1994,???
Makk Ferenc,Korai magyar történeti lexikon : 9-14. század,,,2-003598,2882536,,,9630567229,    .  .  ,1994,???
"Cocteau, Jean",Vásott kölykök,,,2-003599,2848099,,,9637548408,    .  .  ,1994,???
Rónaszegi Miklós,Az a híres Háry János,,,2-003601,2865850,,,9634504914,    .  .  ,1994,???
,Liliomfi : három XIX. századi dráma : A kérõk ; Liliomfi ; A proletárok,,,2-003602,2860787,,,9630756765,    .  .  ,1994,???
"Allais, Alphonse",Horgász a pácban avagy a Blaireau-ügy,,,2-003603,2856049,,,9637815589,    .  .  ,1994,???
Fodor Ágnes,Larousse : A természet enciklopédiája : Földünk növény- és állatvilága,,,2-003604,2883298,,,9637495320,    .  .  ,1994,???
Bereményi Géza,Dalok : Cseh Tamás zenéjére,,,2-003605,2852751,,,9630413639,    .  .  ,1991,???
Küllõs Imola,Népköltészet,,,2-003606,2876238,,,9638350512,    .  .  ,1994,???
Pelle Józsefné,Fõzõiskola,,,2-003607,2877747,,,963838204X,    .  .  ,1994,???
Lázár Katalin,Keresztrejtvényfejtõ zseblexikon,,,2-003608,2884172,,,9638053011,    .  .  ,1994,???
,"Sportkódex A-Z Sportegyesületek, sportszervezetek név- és címjegyzéke",,,2-003609,2883564,,,,    .  .  ,1994,???
Hegedûs Géza,A magyar irodalom arcképcsarnoka,,,2-003611/01,2882390,,,9637685316,    .  .  ,1993,???
Hegedûs Géza,A magyar irodalom arcképcsarnoka,,,2-003611/02,2882901,,,9637685316,    .  .  ,1993,???
"Chrisholm, Jane","Világtörténelem : / Tények , adatok, és évszámok.../",,,2-003612,2882048,,,9638227931,    .  .  ,1994,???
"Quesnel, Alain",Egyiptom,,,2-003613,2873749,,,963846609X,    .  .  ,1994,???
,88 híres vers és értelmezése a világirodalomból,,,2-003614,2880020,,,963117185X,    .  .  ,1994,???
Chászárné Simon Alice,Bábos mesekönyv óvodásoknak és kisiskolásoknak,,,2-003615,2875583,,,9631859762,    .  .  ,1994,???
"Cook, Robin",Halálfélelem,,,2-003616,2848075,,,9637930795,    .  .  ,1989,???
Jókai Mór,Elbeszélések,,,2-003619,2858371,,,9637519521,    .  .  ,1994,???
"Verne, Jules",Város a levegõben : regény,,,2-003620,2868257,,,9638409967,    .  .  ,1994,???
"Cartland, Barbara",A szív szava,,,2-003621,2848334,,,9637790667,    .  .  ,1993,???
