szerzõ,cím,,,leltári_szám,vonalkód,,,ISBN_szám,beszerzés_dátuma,kiadás_éve,szállító
Lovász Andrea,Navigátor : Kortárs gyerekirodalmi lexikon : Böngészõ és olvasókönyv,,,1-096670,3492024,,,9.79E+12,2011.10.14,2011,KELLO
"Griffin, W. E. B.",Kémek becsülete,,,1-096757,3498842,,,9.79E+12,2011.10.14,2010,KELLO
Lackfi János,Heni és a hajmeresztõ terv,,,1-096795,3415481,,,9.79E+12,2011.10.14,2011,KELLO
Thilo,Kalandok a lovardában,,,1-096990,3504284,,,9.79E+12,2011.10.18,2009,KELLO
Kovácsné Molnár Gitta,Kertészkedés mindenkinek,,,1-097138,3504024,,,9.79E+12,2011.10.25,2011,KELLO
Kósa Géza,Éttrend : A Föld legegészségesebb ennivalói,,,1-097341,3541678,,,9.79E+12,2011.11.04,2010,KELLO
"Joyce, Brenda",Halálos ígéret,,,1-097373,3548448,,,9.79E+12,2011.11.04,2003,KELLO
,"Világrengetõ beszédek, melyek megváltoztatták a világot",,,1-097444,3549759,,,9.79E+12,2011.11.04,2011,KELLO
Varró Dániel,Akinek a foga kijött : Még korszerûbb mondókák kevésbé kis babáknak,,,1-097555,3551028,,,9.79E+12,2011.11.04,2011,KELLO
Obersovszki Gyula,"Üvöltök fájón a kor bajaival : 1956 Hõsének versei, beszédei, írásai ; kortársak vallomásai az igazság elkötelezett hívérõl",,,1-103327,4901327,,,9.79E+12,2017.08.18,2017,KELLO
Csoóri Sándor,"Forgácsok a földön : jegyzetek magyarságról, mûvészetrõl, népmûvészetrõl és a közéletrõl",,,1-143920,7072918,,,9.79E+12,2024.06.24,2022,KELLO
Csoóri Sándor,"A hagyomány föltámasztása : a bartóki, kodályi újjáteremtés útján",,,1-143935,7074325,,,9.79E+12,2024.06.24,2022,KELLO
Balogh Júlia,"Csoóri Sándor : levelek Csoóri Sándorhoz, 1952-2016",,,1-144239,7063800,,,9.79E+12,2024.06.26,2023,KELLO
