szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
Végh Antal,Helyõrség az isten háta mögött,2-003276,2868219,9633227933,    .  .  ,1988,???,könyv,???
Végh Antal,Könyörtelenül,2-003277,2868264,9633223563,    .  .  ,1986,???,könyv,???
"Vezsinov, Pavel",A nyomok nem tûnnek el,2-003279,2868356,9631135888,    .  .  ,1984,???,könyv,???
"Vian, Boris",Tajtékos napok,2-003280,2868400,9630714132,    .  .  ,1979,???,könyv,???
"Villon, François",Francois Villon összes versei,2-003281,2868714,9630743521,    .  .  ,1987,???,könyv,???
Voltaire,Candide avagy Az optimizmus,2-003282,2868868,9631538648,    .  .  ,1989,???,könyv,???
Vörösmarty Mihály,Csongor és Tünde,2-003284,2868967,9631142965,    .  .  ,1986,???,könyv,???
Vörösmarty Mihály,Vörösmarty Mihály költõi mûvei,2-003285/01,2869162,9631533476,    .  .  ,1987,???,könyv,???
Vörösmarty Mihály,Vörösmarty Mihály költõi mûvei,2-003285/02,2869216,9631533476,    .  .  ,1987,???,könyv,???
Zalabai Zsigmond,Mérlegpróba,2-003286,2880556,,    .  .  ,1978,???,könyv,???
Zalatnay Sarolta,Nem vagyok én apáca,2-003287,2869049,9630006987,    .  .  ,1985,???,könyv,???
Zsoldos Péter,Portré négy ülésben,2-003288,2869667,,    .  .  ,1979,???,könyv,???
"¯ukrowski, Wojciech",Strand a Styx partján,2-003289,2869711,9632710142,    .  .  ,1979,???,könyv,???
"Zola, Émile",Tisztes úriház,2-003290,2869261,9630743558,    .  .  ,1987,???,könyv,???
Végh Julia,"Ünnepi csokor : Válogatott versek, novellák ünnepi mûsorok szervezéséhez",2-003291,2869995,9634225683,    .  .  ,1983,???,könyv,???
Granasztói Szilvia,"Ünnepsoroló : Versek, játékok, jó tanácsok ünnepekre",2-003292,2869940,9631139751,    .  .  ,1985,???,könyv,???
Esztergályos Jenõ,Magyar ünnepek,2-003293,2864839,9630288761,    .  .  ,1990,???,könyv,???
Huszár Tiborné,Nyitnikék : Kisiskolások könyve,2-003294,2875521,9632234170,    .  .  ,1986,???,könyv,???
,Egzotikus állatok,2-003295,2873213,9630279193,    .  .  ,1990,???,könyv,???
Schmidt Egon,Miért énekel a fülemüle? Madaraink viselkedése,2-003297,2876702,9632331028,    .  .  ,1984,???,könyv,???
Csányi Vilmos,Kis etológia : Gondolkodnak-e az állatok ?,2-003299,2876658,963281665X,    .  .  ,1986,???,könyv,???
Csányi Vilmos,Kis etológia,2-003300,2876603,9632816072,    .  .  ,1980,???,könyv,???
"Peterson, Roger Tory",Európa madarai,2-003301,2883434,9632817206,    .  .  ,1986,???,könyv,???
"Schönn, Renate",Nesztelen szárnyakon,2-003302,2870991,,    .  .  ,1988,???,könyv,???
"Massny, Helmut",Tavi expedíció,2-003303,2871042,9631143449,    .  .  ,1984,???,könyv,???
