szerzõ,cím,leltári szám,vonalkód,ISBN szám,beszerzési dátum,kiadási év,szállító,dokumentum típus,statisztikai besorolás
Lanczendorfer Zsuzsanna,""" Mindent apámról..."" : Egy sokoróaljai iparos emlékei",1-087594,1207729,9.78963E+12,2007.10.24,2007,Lanczendorfer Zsuzsanna,könyv,???
"Matthews, John",Arthur király : A sötét kor harcosa és legendás hõse,1-088190,1146493,9636280177,2007.12.19,2004,Marcal Könyvker. Text Book,könyv,???
"Harpur, James",A keresztes hadjáratok : A kétszáz éves háború,1-088234,1146189,9636282137,2007.12.19,2005,Marcal Könyvker. Text Book,könyv,???
"Steel, Danielle",Tükörkép,1-088284,1146080,963203144X,2007.12.19,2006,Marcal Könyvker. Text Book,könyv,???
Frank Zsófia,Az otthoni gyógymódok nagykönyve,1-088314,1070286,9.78964E+12,2007.12.19,2007,Marcal Könyvker. Text Book,könyv,???
"Lessing, Doris",Az ötödik gyerek,1-088330,1070194,9.78963E+12,2007.12.19,2007,Marcal Könyvker. Text Book,könyv,???
"Roberts, Nora",Biztonságos kikötõ,1-088369,1147759,9.78964E+12,2007.12.19,2007,Marcal Könyvker. Text Book,könyv,???
"Steel, Danielle",Utazás,1-088380,1147650,9632030389,2007.12.19,2001,Marcal Könyvker. Text Book,könyv,???
"Remarque, Erich Maria",A paradicsomban is ott a pokol,1-088399,1224368,9.78963E+12,2007.12.18,2007,Marcal Könyvker. Text Book,könyv,???
Donászy Magda,Táltosmackó,1-088469,1224962,9.78963E+12,2007.12.19,2007,Marcal Könyvker. Text Book,könyv,???
"Coelho, Paulo",A zarándoklat : Egy mágus naplója,1-088512,1224641,9639261270,2007.12.19,2006,Marcal Könyvker. Text Book,könyv,???
"French, Jackie",Hekja : Egy lány a vikingek fogságában,1-090766,1930757,9.78964E+12,2008.12.19,2007,Kalligraf Könyvesbolt,könyv,???
"Moss, Tara",Fétis,1-090895,1932805,9.78963E+12,2008.12.19,2008,Kalligraf Könyvesbolt,könyv,???
"Rowling, Joanne Kathleen",Bogar bárd meséi,1-091012,1933550,9.78964E+12,2008.12.19,2008,Kalligraf Könyvesbolt,könyv,???
"Lee, Maureen",Búcsú Liverpooltól,1-091116,1934953,9.78963E+12,2008.12.19,2008,Kalligraf Könyvesbolt,könyv,???
Nógrádi Gábor,Marci visszavág,1-091220,1935691,9.78963E+12,2008.12.19,2008,Kalligraf Könyvesbolt,könyv,???
"Weir, Alison",Lady Elizabeth,1-091283,1935141,9.78963E+12,2008.12.19,2008,Kalligraf Könyvesbolt,könyv,???
"Sheldon, Peter",A Michelangelo-kód,1-092611,2899206,9632196368,2009.12.22,2005,Kalligraf Könyvesbolt,könyv,???
"Sheldon, Peter",A magyar jövõ feketekönyve,1-092766,2899190,9.78964E+12,2009.12.22,2009,Kalligraf Könyvesbolt,könyv,???
Méhes György,Egyetlenem : Medalionok Erzsébetrõl,1-092850,2902753,9.78963E+12,2009.12.22,2009,Kalligraf Könyvesbolt,könyv,???
"Schache, Ruediger",A szívmágnes titkai,1-092927,2902579,9.78964E+12,2009.12.22,2009,Kalligraf Könyvesbolt,könyv,???
"Moore, Ulysses",A titkos város,1-092952,2903675,9.78963E+12,2009.12.22,2009,Kalligraf Könyvesbolt,könyv,???
"Showalter, Gena",Éjsötét vágyak : Az Alvilág Urai 1.,1-093077,2903484,9.78963E+12,2009.12.22,2009,Kalligraf Könyvesbolt,könyv,???
"Buettner, Dan",A hosszú élet oázisai : Földünk Kék Zónái : A legidõsebbek tanai a hosszú életrõl,1-093228,2903293,9.78964E+12,2009.12.22,2009,Kalligraf Könyvesbolt,könyv,???
Nógrádi Gábor,A bölcs gyerek könyve : Életrevaló mondások igaz történetekkel,1-093254,2903101,9.78964E+12,2009.12.22,2010,Kalligraf Könyvesbolt,könyv,???
"Rahn, Sabine",Lovas történetek,1-093281,2753416,9.78964E+12,2009.12.22,É.N.,Kalligraf Könyvesbolt,könyv,???
"Webb, Holly",Az ellopott kiskutya,1-093326,2753218,9.78963E+12,2009.12.22,2009,Kalligraf Könyvesbolt,könyv,???
Erõs Zoltán,Magyar történelmi helynevek A-tól Z-ig,1-094340,3298763,9.78964E+12,2010.09.13,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
"Stilton, Geronimo",A tûzvörös rubin temploma,1-094402,3064795,9.78963E+12,2010.09.13,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
"Ward, J. R.",Halhatatlan szeretõ : Fekete Tõr Testvériség 8.,1-094439,3220115,9.78963E+12,2010.09.17,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
Hahner Péter,100 történelmi tévhit avagy Amit biztosan tudsz a történelemrõl - és mind rosszul tudod...,1-094529,3225219,9.78964E+12,2010.09.17,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
"Berry, Steve",A templomosok öröksége,1-094677,3225813,9.78963E+12,2010.09.17,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
"Roberts, Nora",Késleltetett álom,1-094729,3293386,9.78964E+12,2010.09.17,É.N.,Könyvtárellátó Közhasznú Társaság,könyv,???
"Martin, Charles",Ahol a folyó véget ér,1-094810,3291221,9.78964E+12,2010.09.17,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
"Leante, Luis","Ó, mennyire szeretlek!",1-095064,3308936,9.78963E+12,2010.11.19,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
Molnár Márta,"Képek, díszek természetes anyagból",1-095099,3309292,9.78963E+12,2010.11.19,2010,Könyvtárellátó Közhasznú Társaság,könyv,???
Timaffy László,Táltosok tudósok boszorkányok : Kisalföldi népmondák,1-095494,3323809,9.78964E+12,2010.12.21,2010,Hazánk Könyvkiadó Kft,könyv,???
Rejtõ Jenõ,A tizennégy karátos autó,1-095770,2956343,9633691249,2011.03.16,2005,Ismeretlen,könyv,???
"Noszik, Borisz",Schweitzer,1-095781,2956176,9630902907,2011.03.16,1975,Ismeretlen,könyv,???
Mikszáth Kálmán,A beszélõ köntös ; A két koldusdiák,1-095802,2956091,9631523667,2011.03.16,1983,Ismeretlen,könyv,???
"Caselli, Giovanni",A középkor,1-095822,2956022,9631333639,2011.03.17,1990,Ismeretlen,könyv,???
"Brockmann, Suzanne",Éjféli ölelés,1-096411,3415016,9.78964E+12,2011.10.14,2011,KELLO,könyv,???
"Pearson, Allison","Csak tudnám, hogy csinálja : A kudarc komédiája, a siker tragédiája",1-096430,3491553,9.78964E+12,2011.10.14,2011,KELLO,könyv,???
"Gerritsen, Tess",A bûnös,1-096583,3498446,9.78963E+12,2011.10.14,2011,KELLO,könyv,???
Lovász Andrea,Navigátor : Kortárs gyerekirodalmi lexikon : Böngészõ és olvasókönyv,1-096670,3492024,9.78964E+12,2011.10.14,2011,KELLO,könyv,???
"Griffin, W. E. B.",Kémek becsülete,1-096757,3498842,9.78963E+12,2011.10.14,2010,KELLO,könyv,???
Lackfi János,Heni és a hajmeresztõ terv,1-096795,3415481,9.78964E+12,2011.10.14,2011,KELLO,könyv,???
Thilo,Kalandok a lovardában,1-096990,3504284,9.78964E+12,2011.10.18,2009,KELLO,könyv,???
Kovácsné Molnár Gitta,Kertészkedés mindenkinek,1-097138,3504024,9.78964E+12,2011.10.25,2011,KELLO,könyv,???
Kósa Géza,Éttrend : A Föld legegészségesebb ennivalói,1-097341,3541678,9.78964E+12,2011.11.04,2010,KELLO,könyv,???
"Joyce, Brenda",Halálos ígéret,1-097373,3548448,9.78964E+12,2011.11.04,2003,KELLO,könyv,???
,"Világrengetõ beszédek, melyek megváltoztatták a világot",1-097444,3549759,9.78616E+12,2011.11.04,2011,KELLO,könyv,???
Varró Dániel,Akinek a foga kijött : Még korszerûbb mondókák kevésbé kis babáknak,1-097555,3551028,9.78616E+12,2011.11.04,2011,KELLO,könyv,???
Obersovszki Gyula,"Üvöltök fájón a kor bajaival : 1956 Hõsének versei, beszédei, írásai ; kortársak vallomásai az igazság elkötelezett hívérõl",1-103327,4901327,9.78964E+12,2017.08.18,2017,KELLO,könyv,???
Csoóri Sándor,"Forgácsok a földön : jegyzetek magyarságról, mûvészetrõl, népmûvészetrõl és a közéletrõl",1-143920,7072918,9.78616E+12,2024.06.24,2022,KELLO,könyv,Felnõtt szépirodalmi
Csoóri Sándor,"A hagyomány föltámasztása : a bartóki, kodályi újjáteremtés útján",1-143935,7074325,9.78616E+12,2024.06.24,2022,KELLO,könyv,Felnõtt szépirodalmi
Balogh Júlia,"Csoóri Sándor : levelek Csoóri Sándorhoz, 1952-2016",1-144239,7063800,9.78616E+12,2024.06.26,2023,KELLO,könyv,Felnõtt szakirodalmi
Csoóri Sándor,Cséphadaró a fejünk fölött 1. : történelmi esszék és vitairatok,1-144327,7070150,9.78616E+12,2024.06.26,2022,KELLO,könyv,Felnõtt szépirodalmi
Csoóri Sándor,Óriások között : a rácsodálkozás öröme,1-144618,7064951,9.78616E+12,2024.06.27,2022,KELLO,könyv,Felnõtt szépirodalmi
Csoóri Sándor,Cséphadaró a fejünk fölött 3. : a szétzilált nemzet,1-144659,7061486,9.78616E+12,2024.06.27,2022,KELLO,könyv,Felnõtt szépirodalmi
Csoóri Sándor,Cséphadaró a fejünk fölött 2. : a magyar esszé és a korabeli bátorság csúcsain,1-144996,7066351,9.78616E+12,2024.06.28,2022,KELLO,könyv,Felnõtt szépirodalmi
Csoóri Sándor,Nincs jövõ irodalom nélkül 2. : írói irodalomtörténet,1-144997,7068058,9.78616E+12,2024.06.28,2022,KELLO,könyv,Felnõtt szakirodalmi
Csoóri Sándor,Nincs jövõ irodalom nélkül 1. : a  tisztánlátás keserûsége,1-145298,7071720,9.78616E+12,2024.06.26,2022,KELLO,könyv,Felnõtt szakirodalmi
"Messenger, Shannon",Vihar szeli ketté : Égszakadás I.,1-146084,7435881,9.78964E+12,2024.08.15,2013,KSZR,könyv,Felnõtt szépirodalmi
Tatay Sándor,Vulkán,2-000003,2867380,,    .  .  ,1968,???,könyv,???
Csathó Kálmán,"A varjú a toronyórán ; Blanche, avagy A szegény rokon ; Mikor az öregek fiatalok voltak",2-000029,2854328,9631523985,    .  .  ,1983,???,könyv,???
Csokonai Vitéz Mihály,"Dorottya, vagyis A dámák diadamla a fársángon",2-000064,2854441,,    .  .  ,1954,???,könyv,???
,Felszabadult ország,2-000084,2853765,,    .  .  ,1950,???,könyv,???
"Géraldy, Paul",Te meg én,2-000091,2856605,,    .  .  ,É.N.,???,könyv,???
"Gogol, Nikolaj Vasileviè",Holt lelkek,2-000097,2856995,,    .  .  ,1954,???,könyv,???
Tóth Dezsõ,Babits - Juhász - Kosztolányi levelezése,2-000110,2855691,,    .  .  ,1959,???,könyv,???
Kertész Erzsébet,A lámpás hölgy : Florence Nightingale életregénye,2-000119,2859477,9631106187,    .  .  ,1976,???,könyv,???
Karinthy Frigyes,Utazás Faremidóba ; Capillária,2-000130,2859385,,    .  .  ,1957,???,könyv,???
"Èapek, Karel","Betörõk, bírák, bûvészek és társaik",2-000163,2852034,,    .  .  ,1969,???,könyv,???
Petõfi Sándor,"Szabadság, szerelem",2-000200,2862811,,    .  .  ,1946,???,könyv,???
Csáth Géza,A repülõ Vucsidol,2-000254,2854311,9632711785,    .  .  ,1980,???,könyv,???
Nagy Endre,Szerelmesek kalauza,2-000303,2874289,,    .  .  ,1957,???,könyv,???
Dégh Linda,A szabadságharc népköltészete,2-000322,2875859,,    .  .  ,1952,???,könyv,???
Öveges József,"Kis fizika : Erõk és mozgások, hangok, fénytan, hõtan",2-000333,2876467,,    .  .  ,1953,???,könyv,???
Öveges József,A legújabb kor fizikája,2-000334,2876412,,    .  .  ,1951,???,könyv,???
Szabó István,A konyhakerti termények korszerû termesztése,2-000358,2877372,,    .  .  ,1946,???,könyv,???
Dienes András,A legendák Petõfije : Táj és emlékezés,2-000372,2875088,,    .  .  ,1957,???,könyv,???
Bónis György,István király,2-000384,2884608,,    .  .  ,1956,???,könyv,???
"Balázs Éva, H.","Mátyás a kortársak között : Írások, levelek",2-000385,2883939,,    .  .  ,1957,???,könyv,???
"Rothmayer, Rolf","Rakéta, szputnyik, ûrhajó : 1000 kérdés és 1000 felelet",2-000390,2877587,,    .  .  ,1959,???,könyv,???
Móricz Zsigmond,Móricz Zsigmond indulása,2-000396,2880891,,    .  .  ,1959,???,könyv,???
Karinthy Frigyes,Kötéltánc,2-000443,2859132,,    .  .  ,1958,???,könyv,???
Móra Ferenc,Mindenki Jánoskája ; Kincskeresõ kisködmön,2-000462,2862149,,    .  .  ,1959,???,könyv,???
Móra Ferenc,Georgikon ; Nádi hegedû,2-000463,2862651,,    .  .  ,1959,???,könyv,???
Takáts Gyula,Színház az ezüst kancsóban,2-000489,2867755,,    .  .  ,1957,???,könyv,???
Tersánszky J. Jenõ,A félbolond,2-000493,2867786,,    .  .  ,1957,???,könyv,???
"Zola, Émile",Párizs gyomra,2-000517,2869254,,    .  .  ,1959,???,könyv,???
"Lambert, Angeli",Zöldségtermesztés,2-000534,2877563,,    .  .  ,1959,???,könyv,???
Kocsis Ferenc,"""Csodálatos"" élõvilág ?",2-000536,2876733,,    .  .  ,1961,???,könyv,???
Takács Tibor,Móra igazgató úr : Kotormány János emlékei Móra Ferencrõl,2-000551,2880952,,    .  .  ,1961,???,könyv,???
Wessely László,Mi orosz elbeszélõk,2-000554,2860909,,    .  .  ,1960,???,könyv,???
Szokoly Endre,"""..."" és Gombos Gyula a kapitány",2-000565,2883694,,    .  .  ,1960,???,könyv,???
"Rothmayer, Rolf","Rakéta, szputnyik, ûrhajó : 1000 kérdés és 1000 felelet",2-000567,2877631,,    .  .  ,1959,???,könyv,???
Tamási Áron,Szirom és Boly,2-000584,2867403,,    .  .  ,1960,???,könyv,???
Németh László,Sajkódi esték,2-000585,2864211,,    .  .  ,1961,???,könyv,???
Herman Ottó,A madarak hasznáról és káráról,2-000606,2876948,,    .  .  ,1960,???,könyv,???
Móricz Zsigmond,Mese a zöld füvön,2-000610,2864204,,    .  .  ,1960,???,könyv,???
Csányi László,Ünnepeink : mûsorfüzet az általános iskolák számára,2-000618,2865072,,    .  .  ,1961,???,könyv,???
"Defoe, Daniel",Robinson,2-000636,2854779,,    .  .  ,1970,???,könyv,???
Baktay Ervin,Kõrösi Csoma Sándor,2-000644,2881317,,    .  .  ,1962,???,könyv,???
Ráth-Végh István,Az emberi butaság,2-000655,2881751,,    .  .  ,1962,???,könyv,???
Váci Mihály,Mindenütt otthon,2-000689,2868097,,    .  .  ,1962,???,könyv,???
Ticsénszky Marianna,Virág a házban és a ház körül,2-000702,2877518,,    .  .  ,1961,???,könyv,???
"Gagarin, Jurij",Utazás a világûrben : Az elsõ ûrhajós pilóta feljegyzései,2-000706,2882239,,    .  .  ,1962,???,könyv,???
"Lem, Stanislaw",Magellán-felhõ,2-000711,2860534,,    .  .  ,1963,???,könyv,???
Móra Ferenc,Daru utcától a Móra Ferenc utcáig,2-000723,2862705,,    .  .  ,1962,???,könyv,???
Jókai Mór,Hétköznapok,2-000736,2858333,,    .  .  ,1962,???,könyv,???
"Laxness, Halldór Kiljan",Az éneklõ hal,2-000740,2860299,,    .  .  ,1962,???,könyv,???
"Maurois, André",Fleming és a penicillin regénye,2-000742,2860817,,    .  .  ,1962,???,könyv,???
Krúdy Gyula,A magyar jakubinusok,2-000762,2859675,,    .  .  ,1962,???,könyv,???
"Curie, Eve",Madame Curie,2-000768,2854489,,    .  .  ,1962,???,könyv,???
Szabó Magda,Pilátus,2-000785,2866901,,    .  .  ,1963,???,könyv,???
Tersánszky J. Jenõ,Sarkantyúvirág,2-000786,2867618,,    .  .  ,1963,???,könyv,???
Németh László,Mai témák,2-000799,2864266,,    .  .  ,1963,???,könyv,???
Barabás Tibor,Beethoven,2-000804,2851181,,    .  .  ,1962,???,könyv,???
"Webster, Jean",Nyakigláb  Apó,2-000817,2869186,,    .  .  ,1963,???,könyv,???
Csatári-Szüts Kálmán,Borsó- és babtermesztés,2-000825,2877327,,    .  .  ,1963,???,könyv,???
"London, Jack",Három kisregény : A vadon szava ; A beszélõ kutya ; Országúton,2-000834,2860176,,    .  .  ,1963,???,könyv,???
"Malaparte, Curzio",Kaputt,2-000835,2861074,,    .  .  ,1963,???,könyv,???
"Coster, Charles de",Thyl Ulenspiegel,2-000843,2847962,,    .  .  ,1962,???,könyv,???
Zemplén Jolán,A kísérletezés úttörõi a XIX. században,2-000848,2876474,,    .  .  ,1963,???,könyv,???
Bárdos Lajos,Bartók-dallamok és a népzene,2-000852,2878805,9637801146,    .  .  ,1977,???,könyv,???
Rácz Zoltán,A gyászszertartásokról : A polgári gyászszertartás : Útmutató gyászbeszédek összeállításához,2-000859,2876047,9635621191,    .  .  ,1977,???,könyv,???
Ábel Olga,Egy kísértet-térkép nyomán,2-000867,2874692,,    .  .  ,1963,???,könyv,???
Arany János,Buda halála,2-000875,2855929,,    .  .  ,1963,???,könyv,???
"Chabrol, Jean-Pierre",Isten bolondjai,2-000876,2848327,,    .  .  ,1963,???,könyv,???
Berei Andor,Új magyar lexikon A-C.,2-000889/01,2883359,,    .  .  ,1959,???,könyv,???
Berei Andor,Új magyar lexikon D-F.,2-000889/02,2882956,,    .  .  ,1962,???,könyv,???
Berei Andor,Új magyar lexikon G-J.,2-000889/03,2883458,,    .  .  ,1962,???,könyv,???
Berei Andor,Új magyar lexikon K-Me.,2-000889/04,2883403,,    .  .  ,1962,???,könyv,???
Berei Andor,Új magyar lexikon Mf-R.,2-000889/05,2883557,,    .  .  ,1961,???,könyv,???
Berei Andor,Új magyar lexikon S-Z.,2-000889/06,2883502,,    .  .  ,1962,Ismeretlen,könyv,???
Nagy Béla,Dísznövénytermesztés,2-000890,2877266,,    .  .  ,1963,???,könyv,???
Gál György Sándor,"Hazám, hazám, te mindenem : Erkel Ferenc életregénye",2-000891,2882185,,    .  .  ,1963,???,könyv,???
Villányi Emilné,Fürge ujjak könyve,2-000924,2877945,,    .  .  ,1963,???,könyv,???
Barsi Ernõ,Daloló Rábaköz,2-000936,2875309,9630319527,    .  .  ,1983,???,könyv,???
"France, Anatole",Crainquebille és más elbeszélések,2-000938,2856377,,    .  .  ,1967,???,könyv,???
Erdõs László,Sziszifusz,2-000945,2853239,,    .  .  ,1959,???,könyv,???
Sánta Ferenc,Téli virágzás,2-000958,2865393,,    .  .  ,1956,???,könyv,???
Illés Béla,Ég a Tisza,2-000961,2857657,,    .  .  ,1962,???,könyv,???
Nagy Lajos,A lázadó ember,2-000963,2864082,,    .  .  ,1956,???,könyv,???
Balázs Pál,A kiskert örökzöldjei,2-000994,2877112,,    .  .  ,1961,???,könyv,???
Békés István,Új magyar anekdotakincs : A századrordulótól a felszabadulásig,2-001016,2852874,,    .  .  ,1963,???,könyv,???
Passuth László,Sárkányfog,2-001019/01,2862972,,    .  .  ,1963,???,könyv,???
Passuth László,Sárkányfog,2-001019/02,2863023,,    .  .  ,1963,???,könyv,???
Gerõ László,Az építészeti stílusok,2-001024,2878379,,    .  .  ,1964,???,könyv,???
Baktay Ervin,Kõrösi Csoma Sándor,2-001037,2881461,,    .  .  ,1963,???,könyv,???
Köves J. Julianna,Illik tudni : A kulturált viselkedés szabályai,2-001045,2875781,963743805X,    .  .  ,1991,???,könyv,???
"Zola, Émile",Lourdes,2-001050,2869100,,    .  .  ,1964,???,könyv,???
"Zola, Émile",Róma,2-001051,2869155,,    .  .  ,1964,???,könyv,???
"Zola, Émile",Párizs,2-001052,2869209,,    .  .  ,1964,???,könyv,???
Márkus István,""" Nyugalmat nem ismerek"" : Mihail Vasziljevics Lomonoszov élete",2-001056,2861081,,    .  .  ,1963,???,könyv,???
Tóth Árpád,Tóth Árpád versei,2-001064,2867960,,    .  .  ,1964,???,könyv,???
Urbán Ernõ,Színe és visszája avagy a levágott ujjak esete,2-001065,2868530,,    .  .  ,1964,???,könyv,???
,Három földrész országaiban,2-001075,2881492,,    .  .  ,1961,???,könyv,???
Mikszáth Kálmán,Szent Péter esernyõje,2-001076,2861739,,    .  .  ,1962,???,könyv,???
Ady Endre,Ady Endre összes novellái,2-001085,2856131,,    .  .  ,1961,???,könyv,???
"Dickens, Charles",A Pickwick Klub,2-001086,2853611,,    .  .  ,1961,???,könyv,???
Arany László,Arany László válogatott mûvei,2-001096,2855844,,    .  .  ,1960,???,könyv,???
"Majskij, Ivan Mihaloviè",Ki segített Hitlernek? : A londoni szovjet nagykövet visszaemlékezései,2-001100,2861241,,    .  .  ,1964,???,könyv,???
Hegedûs Géza,A milétoszi hajós,2-001104,2857961,,    .  .  ,1964,???,könyv,???
"Magidovics, Ioszip Petrovics",Nagy földrajzi felfedezések,2-001107,2881034,,    .  .  ,1963,???,könyv,???
"Braunbek, Werner",Az atommag regénye,2-001109,2876627,,    .  .  ,1964,???,könyv,???
Mesterházi Lajos,Egyes szám elsõ személyben,2-001123,2861715,,    .  .  ,1964,???,könyv,???
,A reneszánsz festészete : az európai mûvészet diadala,2-001131,2883786,9633678811,    .  .  ,2000,???,könyv,???
Balázs Sándor,Reng a föld Itáliában : Spartacus élete és kora,2-001132,2851334,,    .  .  ,1964,???,könyv,???
Molnár Gábor,Ahol az ösvény véget ér : Észak-Brazília õserdõiben,2-001137,2880983,,    .  .  ,1964,???,könyv,???
Kodolányi János,Boldog Margit,2-001144,2860107,,    .  .  ,1964,???,könyv,???
Barabás Tibor,Házunk büszkesége,2-001151,2851136,,    .  .  ,1964,???,könyv,???
"Bartseh, Ernst",Indiánok és négereg az Újvilágban,2-001160,2881416,,    .  .  ,1964,???,könyv,???
Száva István,Egyedül a halál ellen : Semmelweis Ignác élete,2-001164,2867236,,    .  .  ,1963,???,könyv,???
Halász Zoltán,Históriák a magyar régészet történetébõl,2-001170,2881942,,    .  .  ,1964,???,könyv,???
"London, Jack",Az éneklõ kutya,2-001184,2860633,,    .  .  ,1964,???,könyv,???
Gárdonyi Géza,A láthatatlan ember,2-001190,2856759,9639198129,    .  .  ,É.N.,???,könyv,???
"Bates, Herbert Ernest",Jó széllel francia partra ; A jacaranda-fa,2-001194,2852928,,    .  .  ,1965,???,könyv,???
"Gorkij, Makszim",Az áruló,2-001202,2857343,,    .  .  ,1965,???,könyv,???
Arany János,Arany János balladái,2-001204,2856001,,    .  .  ,1964,???,könyv,???
"Cusack, Dymphna",Hõhullám Berlinben,2-001207,2854526,9639282448,    .  .  ,É.N.,???,könyv,???
Rácz Béla,A tanuk hallgatnak,2-001216,2863436,,    .  .  ,1965,???,könyv,???
"Jungk, Robert",A hamu gyermekei : Hirosima népe,2-001221,2885155,,    .  .  ,1965,???,könyv,???
Bölöni György,Hallja kend Táncsics!,2-001224,2851778,,    .  .  ,1965,???,könyv,???
"Diamond, Diana",Széllel szemben,2-001225,2854946,9639459747,    .  .  ,2004,???,könyv,???
"Anderson, Catherine",Fantomkeringõ,2-001226,2856032,9639459771,    .  .  ,2001,???,könyv,???
Darvas József,Város az ingoványon,2-001231,2854656,,    .  .  ,1965,???,könyv,???
Illés Béla,Aranyliba : Összegyûjtött elbeszélések. 1920-1964,2-001232,2857596,,    .  .  ,1965,???,könyv,???
Pernesz Gyula,A Kisfaludy Károly Megyei Könyvtár évkönyve 1965,2-001236,2873817,,    .  .  ,1965,???,könyv,???
Kosztolányi Dezsõ,Kosztolányi Dezsõ elbeszélései,2-001237,2860138,,    .  .  ,1965,???,könyv,???
"Báz, Eduard",A csodacsapat,2-001239,2852942,,    .  .  ,1965,???,könyv,???
Götz József,Szerelõipari gépek,2-001244,2877334,,    .  .  ,1965,???,könyv,???
Koncsek László,Bibliai földeken,2-001258,2881485,,    .  .  ,1964,???,könyv,???
"Sadoveanu, Mihail",Virágöböl,2-001259,2865690,,    .  .  ,1963,???,könyv,???
"Balzac, Honoré de",César Birotteau nagysága és bukása,2-001263,2851198,,    .  .  ,1964,???,könyv,???
Kiss Bitay Éva,A természet törvénye : Csodálatos fajfenntartás,2-001264,2871554,,    .  .  ,É.N.,???,könyv,???
Mikszáth Kálmán,Akli Miklós cs. kir. udvari mulattató története,2-001266,2861463,,    .  .  ,1963,???,könyv,???
"Bates, Herbert Ernest",Jó széllel francia partra,2-001269,2852935,,    .  .  ,1971,???,könyv,???
"Andersen Nexö, Martin","Ditte, az ember lánya",2-001270,2862804,,    .  .  ,1965,???,könyv,???
Fekete István,Kele,2-001279,2854052,,    .  .  ,1964,???,könyv,???
"Mann, Thomas",A kiválasztott,2-001283,2861357,,    .  .  ,1965,???,könyv,???
"Dickens, Charles",A Pickwick Klub,2-001291,2854953,,    .  .  ,1961,???,könyv,???
"O'Casey, Sean","Zörgettem az ajtón : Futó pillantás dolgokra, melyeknek magam köszönhetem",2-001293,2863351,,    .  .  ,1963,???,könyv,???
Szabó Lõrinc,Örök barátaink : A költõ kisebb lírai versfordításai,2-001295/01,2867205,,    .  .  ,1964,???,könyv,???
Szabó Lõrinc,Örök barátaink : A költõ kisebb lírai versfordításai,2-001295/02,2867250,,    .  .  ,1964,???,könyv,???
Hegedûs Géza,Az életmûvész hagyatéka,2-001305,2857077,,    .  .  ,1964,???,könyv,???
Román József,"Mondák, eposzok, legendák",2-001311,2863719,,    .  .  ,1964,???,könyv,???
Garai Gábor,Magyar versek könyve,2-001312,2861456,,    .  .  ,1963,???,könyv,???
Hegedüs András,Robot és szolgálat : Gárdonyi Géza Gyõrött (1886-1888),2-001317,2880723,,    .  .  ,1965,???,könyv,???
Heltai Jenõ,Kiskirályok : Family Hotel ; VII. Emánuel és kora,2-001323,2857565,,    .  .  ,1961,???,könyv,???
Galgóczi Erzsébet,Félúton,2-001324,2856681,,    .  .  ,1961,???,könyv,???
Kodolányi János,Baranyai utazás,2-001329,2860053,,    .  .  ,1963,???,könyv,???
Dobozy Imre,Holnap folytatjuk,2-001339,2853574,,    .  .  ,1963,???,könyv,???
Németh László,Bûn,2-001344,2864617,,    .  .  ,1966,???,könyv,???
Mohácsy Mátyás,"Szamóca, málna, szeder",2-001345,2877662,,    .  .  ,1965,???,könyv,???
Gerencsér Miklós,Tilalomfa,2-001348,2856452,,    .  .  ,1966,???,könyv,???
,Különös históriák,2-001350,2860459,,    .  .  ,É.N.,???,könyv,???
"Pirandello, Luigi",A kitaszított,2-001351,2864051,,    .  .  ,1966,???,könyv,???
"Jacobi, Bernhard",Templomok és paloták : Séta elsüllyedt városokon keresztül,2-001354,2882208,,    .  .  ,1966,???,könyv,???
Láng György,A Tamás templom karnagya : Johann Sebastian Bach életének regénye,2-001357,2860541,,    .  .  ,1966,???,könyv,???
Hegedüs András,"Gyõr irodalmi örökségébõl : Petõfi Sándor és a gyõri ""Hazánk""",2-001360,2880877,,    .  .  ,1961,???,könyv,???
Jeszenszky Árpád,"Oltás, szemzés, dugványozás",2-001363,2877273,,    .  .  ,1958,???,könyv,???
Magyar László,Móra Ferenc élete,2-001365,2860893,,    .  .  ,1966,???,könyv,???
Mezei András,A csodatevõ,2-001366,2861562,,    .  .  ,1966,???,könyv,???
"Golding, William",A legyek ura,2-001370,2857046,,    .  .  ,1966,???,könyv,???
Radnóti Miklós,Radnóti Miklós összes versei és mûfordításai,2-001376,2863535,,    .  .  ,1965,???,könyv,???
"Kriveljov, Ioszif Aronovics",Könyv a Bibliáról,2-001377,2874043,,    .  .  ,É.N.,???,könyv,???
Kodolányi János,Az égõ csipkebokor,2-001378,2860152,,    .  .  ,1965,???,könyv,???
"Werfel, Franz",A Musza Dag negyven napja,2-001386/01,2869124,,    .  .  ,1966,???,könyv,???
"Werfel, Franz",A Musza Dag negyven napja,2-001386/02,2869070,,    .  .  ,1966,???,könyv,???
Déry Tibor,A kiközösítõ,2-001387,2854915,,    .  .  ,1966,???,könyv,???
Mikszáth Kálmán,A beszélõ köntös : A gavallérok,2-001388,2861722,,    .  .  ,1966,???,könyv,???
